Pokedex Number,Pokemon,Link,HP,Attack,Defense,Speed,Special Attack,Special Defense,Stat Total
0018,Pidgeot,https://bulbapedia.bulbagarden.net/wiki/Pidgeot_(Pok%C3%A9mon),83,80,75,101,70,70,479
0018,Pidgeot Mega Pidgeot,https://bulbapedia.bulbagarden.net/wiki/Pidgeot_(Pok%C3%A9mon),83,80,80,121,135,80,579
0019,Rattata,https://bulbapedia.bulbagarden.net/wiki/Rattata_(Pok%C3%A9mon),30,56,35,72,25,35,253
0019,Rattata Alolan Rattata,https://bulbapedia.bulbagarden.net/wiki/Rattata_(Pok%C3%A9mon),30,56,35,72,25,35,253
0020,Raticate,https://bulbapedia.bulbagarden.net/wiki/Raticate_(Pok%C3%A9mon),55,81,60,97,50,70,413
0020,Raticate Alolan Raticate,https://bulbapedia.bulbagarden.net/wiki/Raticate_(Pok%C3%A9mon),75,71,70,77,40,80,413
0021,Spearow,https://bulbapedia.bulbagarden.net/wiki/Spearow_(Pok%C3%A9mon),40,60,30,70,31,31,262
0022,Fearow,https://bulbapedia.bulbagarden.net/wiki/Fearow_(Pok%C3%A9mon),65,90,65,100,61,61,442
0023,Ekans,https://bulbapedia.bulbagarden.net/wiki/Ekans_(Pok%C3%A9mon),35,60,44,55,40,54,288
0024,Arbok,https://bulbapedia.bulbagarden.net/wiki/Arbok_(Pok%C3%A9mon),60,95,69,80,65,79,448
0025,Pikachu,https://bulbapedia.bulbagarden.net/wiki/Pikachu_(Pok%C3%A9mon),35,55,40,90,50,50,320
0025,Pikachu Partner Pikachu,https://bulbapedia.bulbagarden.net/wiki/Pikachu_(Pok%C3%A9mon),45,80,50,120,75,60,430
0026,Raichu,https://bulbapedia.bulbagarden.net/wiki/Raichu_(Pok%C3%A9mon),60,90,55,110,90,80,485
0026,Raichu Alolan Raichu,https://bulbapedia.bulbagarden.net/wiki/Raichu_(Pok%C3%A9mon),60,85,50,110,95,85,485
0027,Sandshrew,https://bulbapedia.bulbagarden.net/wiki/Sandshrew_(Pok%C3%A9mon),50,75,85,40,20,30,300
0027,Sandshrew Alolan Sandshrew,https://bulbapedia.bulbagarden.net/wiki/Sandshrew_(Pok%C3%A9mon),50,75,90,40,10,35,300
0028,Sandslash,https://bulbapedia.bulbagarden.net/wiki/Sandslash_(Pok%C3%A9mon),75,100,110,65,45,55,450
0028,Sandslash Alolan Sandslash,https://bulbapedia.bulbagarden.net/wiki/Sandslash_(Pok%C3%A9mon),75,100,120,65,25,65,450
0029,Nidoran♀,https://bulbapedia.bulbagarden.net/wiki/Nidoran%E2%99%80_(Pok%C3%A9mon),55,47,52,41,40,40,275
0030,Nidorina,https://bulbapedia.bulbagarden.net/wiki/Nidorina_(Pok%C3%A9mon),70,62,67,56,55,55,365
0031,Nidoqueen,https://bulbapedia.bulbagarden.net/wiki/Nidoqueen_(Pok%C3%A9mon),90,92,87,76,75,85,505
0032,Nidoran♂,https://bulbapedia.bulbagarden.net/wiki/Nidoran%E2%99%82_(Pok%C3%A9mon),46,57,40,50,40,40,273
0033,Nidorino,https://bulbapedia.bulbagarden.net/wiki/Nidorino_(Pok%C3%A9mon),61,72,57,65,55,55,365
0034,Nidoking,https://bulbapedia.bulbagarden.net/wiki/Nidoking_(Pok%C3%A9mon),81,102,77,85,85,75,505
0035,Clefairy,https://bulbapedia.bulbagarden.net/wiki/Clefairy_(Pok%C3%A9mon),70,45,48,35,60,65,323
0036,Clefable,https://bulbapedia.bulbagarden.net/wiki/Clefable_(Pok%C3%A9mon),95,70,73,60,95,90,483
0036,Clefable Mega Clefable,https://bulbapedia.bulbagarden.net/wiki/Clefable_(Pok%C3%A9mon),95,80,93,70,135,110,583
0037,Vulpix,https://bulbapedia.bulbagarden.net/wiki/Vulpix_(Pok%C3%A9mon),38,41,40,65,50,65,299
0037,Vulpix Alolan Vulpix,https://bulbapedia.bulbagarden.net/wiki/Vulpix_(Pok%C3%A9mon),38,41,40,65,50,65,299
0038,Ninetales,https://bulbapedia.bulbagarden.net/wiki/Ninetales_(Pok%C3%A9mon),73,76,75,100,81,100,505
0038,Ninetales Alolan Ninetales,https://bulbapedia.bulbagarden.net/wiki/Ninetales_(Pok%C3%A9mon),73,67,75,109,81,100,505
0039,Jigglypuff,https://bulbapedia.bulbagarden.net/wiki/Jigglypuff_(Pok%C3%A9mon),115,45,20,20,45,25,270
0040,Wigglytuff,https://bulbapedia.bulbagarden.net/wiki/Wigglytuff_(Pok%C3%A9mon),140,70,45,45,85,50,435
0041,Zubat,https://bulbapedia.bulbagarden.net/wiki/Zubat_(Pok%C3%A9mon),40,45,35,55,30,40,245
0042,Golbat,https://bulbapedia.bulbagarden.net/wiki/Golbat_(Pok%C3%A9mon),75,80,70,90,65,75,455
0043,Oddish,https://bulbapedia.bulbagarden.net/wiki/Oddish_(Pok%C3%A9mon),45,50,55,30,75,65,320
0044,Gloom,https://bulbapedia.bulbagarden.net/wiki/Gloom_(Pok%C3%A9mon),60,65,70,40,85,75,395
0045,Vileplume,https://bulbapedia.bulbagarden.net/wiki/Vileplume_(Pok%C3%A9mon),75,80,85,50,110,90,490
0046,Paras,https://bulbapedia.bulbagarden.net/wiki/Paras_(Pok%C3%A9mon),35,70,55,25,45,55,285
0047,Parasect,https://bulbapedia.bulbagarden.net/wiki/Parasect_(Pok%C3%A9mon),60,95,80,30,60,80,405
0048,Venonat,https://bulbapedia.bulbagarden.net/wiki/Venonat_(Pok%C3%A9mon),60,55,50,45,40,55,305
0049,Venomoth,https://bulbapedia.bulbagarden.net/wiki/Venomoth_(Pok%C3%A9mon),70,65,60,90,90,75,450
0050,Diglett,https://bulbapedia.bulbagarden.net/wiki/Diglett_(Pok%C3%A9mon),10,55,25,95,35,45,265
0050,Diglett Alolan Diglett,https://bulbapedia.bulbagarden.net/wiki/Diglett_(Pok%C3%A9mon),10,55,30,90,35,45,265
0051,Dugtrio,https://bulbapedia.bulbagarden.net/wiki/Dugtrio_(Pok%C3%A9mon),35,100,50,120,50,70,425
0051,Dugtrio Alolan Dugtrio,https://bulbapedia.bulbagarden.net/wiki/Dugtrio_(Pok%C3%A9mon),35,100,60,110,50,70,425
0052,Meowth,https://bulbapedia.bulbagarden.net/wiki/Meowth_(Pok%C3%A9mon),40,45,35,90,40,40,290
0052,Meowth Alolan Meowth,https://bulbapedia.bulbagarden.net/wiki/Meowth_(Pok%C3%A9mon),40,35,35,90,50,40,290
0052,Meowth Galarian Meowth,https://bulbapedia.bulbagarden.net/wiki/Meowth_(Pok%C3%A9mon),50,65,55,40,40,40,290
0053,Persian,https://bulbapedia.bulbagarden.net/wiki/Persian_(Pok%C3%A9mon),65,70,60,115,65,65,440
0053,Persian Alolan Persian,https://bulbapedia.bulbagarden.net/wiki/Persian_(Pok%C3%A9mon),65,60,60,115,75,65,440
0054,Psyduck,https://bulbapedia.bulbagarden.net/wiki/Psyduck_(Pok%C3%A9mon),50,52,48,55,65,50,320
0055,Golduck,https://bulbapedia.bulbagarden.net/wiki/Golduck_(Pok%C3%A9mon),80,82,78,85,95,80,500
0056,Mankey,https://bulbapedia.bulbagarden.net/wiki/Mankey_(Pok%C3%A9mon),40,80,35,70,35,45,305
0057,Primeape,https://bulbapedia.bulbagarden.net/wiki/Primeape_(Pok%C3%A9mon),65,105,60,95,60,70,455
0058,Growlithe,https://bulbapedia.bulbagarden.net/wiki/Growlithe_(Pok%C3%A9mon),55,70,45,60,70,50,350
0058,Growlithe Hisuian Growlithe,https://bulbapedia.bulbagarden.net/wiki/Growlithe_(Pok%C3%A9mon),60,75,45,55,65,50,350
0059,Arcanine,https://bulbapedia.bulbagarden.net/wiki/Arcanine_(Pok%C3%A9mon),90,110,80,95,100,80,555
0059,Arcanine Hisuian Arcanine,https://bulbapedia.bulbagarden.net/wiki/Arcanine_(Pok%C3%A9mon),95,115,80,90,95,80,555
0060,Poliwag,https://bulbapedia.bulbagarden.net/wiki/Poliwag_(Pok%C3%A9mon),40,50,40,90,40,40,300
0061,Poliwhirl,https://bulbapedia.bulbagarden.net/wiki/Poliwhirl_(Pok%C3%A9mon),65,65,65,90,50,50,385
0062,Poliwrath,https://bulbapedia.bulbagarden.net/wiki/Poliwrath_(Pok%C3%A9mon),90,95,95,70,70,90,510
0063,Abra,https://bulbapedia.bulbagarden.net/wiki/Abra_(Pok%C3%A9mon),25,20,15,90,105,55,310
0064,Kadabra,https://bulbapedia.bulbagarden.net/wiki/Kadabra_(Pok%C3%A9mon),40,35,30,105,120,70,400
0065,Alakazam,https://bulbapedia.bulbagarden.net/wiki/Alakazam_(Pok%C3%A9mon),55,50,45,120,135,95,500
0065,Alakazam Mega Alakazam,https://bulbapedia.bulbagarden.net/wiki/Alakazam_(Pok%C3%A9mon),55,50,65,150,175,105,600
0066,Machop,https://bulbapedia.bulbagarden.net/wiki/Machop_(Pok%C3%A9mon),70,80,50,35,35,35,305
0067,Machoke,https://bulbapedia.bulbagarden.net/wiki/Machoke_(Pok%C3%A9mon),80,100,70,45,50,60,405
0068,Machamp,https://bulbapedia.bulbagarden.net/wiki/Machamp_(Pok%C3%A9mon),90,130,80,55,65,85,505
0069,Bellsprout,https://bulbapedia.bulbagarden.net/wiki/Bellsprout_(Pok%C3%A9mon),50,75,35,40,70,30,300
0070,Weepinbell,https://bulbapedia.bulbagarden.net/wiki/Weepinbell_(Pok%C3%A9mon),65,90,50,55,85,45,390
0071,Victreebel,https://bulbapedia.bulbagarden.net/wiki/Victreebel_(Pok%C3%A9mon),80,105,65,70,100,70,490
0071,Victreebel Mega Victreebel,https://bulbapedia.bulbagarden.net/wiki/Victreebel_(Pok%C3%A9mon),80,125,85,70,135,95,590
0072,Tentacool,https://bulbapedia.bulbagarden.net/wiki/Tentacool_(Pok%C3%A9mon),40,40,35,70,50,100,335
0073,Tentacruel,https://bulbapedia.bulbagarden.net/wiki/Tentacruel_(Pok%C3%A9mon),80,70,65,100,80,120,515
0074,Geodude,https://bulbapedia.bulbagarden.net/wiki/Geodude_(Pok%C3%A9mon),40,80,100,20,30,30,300
0074,Geodude Alolan Geodude,https://bulbapedia.bulbagarden.net/wiki/Geodude_(Pok%C3%A9mon),40,80,100,20,30,30,300
0075,Graveler,https://bulbapedia.bulbagarden.net/wiki/Graveler_(Pok%C3%A9mon),55,95,115,35,45,45,390
0075,Graveler Alolan Graveler,https://bulbapedia.bulbagarden.net/wiki/Graveler_(Pok%C3%A9mon),55,95,115,35,45,45,390
0076,Golem,https://bulbapedia.bulbagarden.net/wiki/Golem_(Pok%C3%A9mon),80,120,130,45,55,65,495
0076,Golem Alolan Golem,https://bulbapedia.bulbagarden.net/wiki/Golem_(Pok%C3%A9mon),80,120,130,45,55,65,495
0077,Ponyta,https://bulbapedia.bulbagarden.net/wiki/Ponyta_(Pok%C3%A9mon),50,85,55,90,65,65,410
0077,Ponyta Galarian Ponyta,https://bulbapedia.bulbagarden.net/wiki/Ponyta_(Pok%C3%A9mon),50,85,55,90,65,65,410
0078,Rapidash,https://bulbapedia.bulbagarden.net/wiki/Rapidash_(Pok%C3%A9mon),65,100,70,105,80,80,500
0078,Rapidash Galarian Rapidash,https://bulbapedia.bulbagarden.net/wiki/Rapidash_(Pok%C3%A9mon),65,100,70,105,80,80,500
0079,Slowpoke,https://bulbapedia.bulbagarden.net/wiki/Slowpoke_(Pok%C3%A9mon),90,65,65,15,40,40,315
0079,Slowpoke Galarian Slowpoke,https://bulbapedia.bulbagarden.net/wiki/Slowpoke_(Pok%C3%A9mon),90,65,65,15,40,40,315
0080,Slowbro,https://bulbapedia.bulbagarden.net/wiki/Slowbro_(Pok%C3%A9mon),95,75,110,30,100,80,490
0080,Slowbro Mega Slowbro,https://bulbapedia.bulbagarden.net/wiki/Slowbro_(Pok%C3%A9mon),95,75,180,30,130,80,590
0080,Slowbro Galarian Slowbro,https://bulbapedia.bulbagarden.net/wiki/Slowbro_(Pok%C3%A9mon),95,100,95,30,100,70,490
0081,Magnemite,https://bulbapedia.bulbagarden.net/wiki/Magnemite_(Pok%C3%A9mon),25,35,70,45,95,55,325
0082,Magneton,https://bulbapedia.bulbagarden.net/wiki/Magneton_(Pok%C3%A9mon),50,60,95,70,120,70,465
0083,Farfetch'd,https://bulbapedia.bulbagarden.net/wiki/Farfetch%27d_(Pok%C3%A9mon),52,90,55,60,58,62,377
0083,Farfetch'd Galarian Farfetch'd,https://bulbapedia.bulbagarden.net/wiki/Farfetch%27d_(Pok%C3%A9mon),52,95,55,55,58,62,377
0084,Doduo,https://bulbapedia.bulbagarden.net/wiki/Doduo_(Pok%C3%A9mon),35,85,45,75,35,35,310
0085,Dodrio,https://bulbapedia.bulbagarden.net/wiki/Dodrio_(Pok%C3%A9mon),60,110,70,110,60,60,470
0086,Seel,https://bulbapedia.bulbagarden.net/wiki/Seel_(Pok%C3%A9mon),65,45,55,45,45,70,325
0087,Dewgong,https://bulbapedia.bulbagarden.net/wiki/Dewgong_(Pok%C3%A9mon),90,70,80,70,70,95,475
0088,Grimer,https://bulbapedia.bulbagarden.net/wiki/Grimer_(Pok%C3%A9mon),80,80,50,25,40,50,325
0088,Grimer Alolan Grimer,https://bulbapedia.bulbagarden.net/wiki/Grimer_(Pok%C3%A9mon),80,80,50,25,40,50,325
0089,Muk,https://bulbapedia.bulbagarden.net/wiki/Muk_(Pok%C3%A9mon),105,105,75,50,65,100,500
0089,Muk Alolan Muk,https://bulbapedia.bulbagarden.net/wiki/Muk_(Pok%C3%A9mon),105,105,75,50,65,100,500
0090,Shellder,https://bulbapedia.bulbagarden.net/wiki/Shellder_(Pok%C3%A9mon),30,65,100,40,45,25,305
0091,Cloyster,https://bulbapedia.bulbagarden.net/wiki/Cloyster_(Pok%C3%A9mon),50,95,180,70,85,45,525
0092,Gastly,https://bulbapedia.bulbagarden.net/wiki/Gastly_(Pok%C3%A9mon),30,35,30,80,100,35,310
0093,Haunter,https://bulbapedia.bulbagarden.net/wiki/Haunter_(Pok%C3%A9mon),45,50,45,95,115,55,405
0094,Gengar,https://bulbapedia.bulbagarden.net/wiki/Gengar_(Pok%C3%A9mon),60,65,60,110,130,75,500
0094,Gengar Mega Gengar,https://bulbapedia.bulbagarden.net/wiki/Gengar_(Pok%C3%A9mon),60,65,80,130,170,95,600
0095,Onix,https://bulbapedia.bulbagarden.net/wiki/Onix_(Pok%C3%A9mon),35,45,160,70,30,45,385
0096,Drowzee,https://bulbapedia.bulbagarden.net/wiki/Drowzee_(Pok%C3%A9mon),60,48,45,42,43,90,328
0097,Hypno,https://bulbapedia.bulbagarden.net/wiki/Hypno_(Pok%C3%A9mon),85,73,70,67,73,115,483
0098,Krabby,https://bulbapedia.bulbagarden.net/wiki/Krabby_(Pok%C3%A9mon),30,105,90,50,25,25,325
0099,Kingler,https://bulbapedia.bulbagarden.net/wiki/Kingler_(Pok%C3%A9mon),55,130,115,75,50,50,475
0100,Voltorb,https://bulbapedia.bulbagarden.net/wiki/Voltorb_(Pok%C3%A9mon),40,30,50,100,55,55,330
0100,Voltorb Hisuian Voltorb,https://bulbapedia.bulbagarden.net/wiki/Voltorb_(Pok%C3%A9mon),40,30,50,100,55,55,330
0101,Electrode,https://bulbapedia.bulbagarden.net/wiki/Electrode_(Pok%C3%A9mon),60,50,70,150,80,80,490
0101,Electrode Hisuian Electrode,https://bulbapedia.bulbagarden.net/wiki/Electrode_(Pok%C3%A9mon),60,50,70,150,80,80,490
0102,Exeggcute,https://bulbapedia.bulbagarden.net/wiki/Exeggcute_(Pok%C3%A9mon),60,40,80,40,60,45,325
0103,Exeggutor,https://bulbapedia.bulbagarden.net/wiki/Exeggutor_(Pok%C3%A9mon),95,95,85,55,125,75,530
0103,Exeggutor Alolan Exeggutor,https://bulbapedia.bulbagarden.net/wiki/Exeggutor_(Pok%C3%A9mon),95,105,85,45,125,75,530
0104,Cubone,https://bulbapedia.bulbagarden.net/wiki/Cubone_(Pok%C3%A9mon),50,50,95,35,40,50,320
0105,Marowak,https://bulbapedia.bulbagarden.net/wiki/Marowak_(Pok%C3%A9mon),60,80,110,45,50,80,425
0105,Marowak Alolan Marowak,https://bulbapedia.bulbagarden.net/wiki/Marowak_(Pok%C3%A9mon),60,80,110,45,50,80,425
0106,Hitmonlee,https://bulbapedia.bulbagarden.net/wiki/Hitmonlee_(Pok%C3%A9mon),50,120,53,87,35,110,455
0107,Hitmonchan,https://bulbapedia.bulbagarden.net/wiki/Hitmonchan_(Pok%C3%A9mon),50,105,79,76,35,110,455
0108,Lickitung,https://bulbapedia.bulbagarden.net/wiki/Lickitung_(Pok%C3%A9mon),90,55,75,30,60,75,385
0109,Koffing,https://bulbapedia.bulbagarden.net/wiki/Koffing_(Pok%C3%A9mon),40,65,95,35,60,45,340
0110,Weezing,https://bulbapedia.bulbagarden.net/wiki/Weezing_(Pok%C3%A9mon),65,90,120,60,85,70,490
0110,Weezing Galarian Weezing,https://bulbapedia.bulbagarden.net/wiki/Weezing_(Pok%C3%A9mon),65,90,120,60,85,70,490
0111,Rhyhorn,https://bulbapedia.bulbagarden.net/wiki/Rhyhorn_(Pok%C3%A9mon),80,85,95,25,30,30,345
0112,Rhydon,https://bulbapedia.bulbagarden.net/wiki/Rhydon_(Pok%C3%A9mon),105,130,120,40,45,45,485
0113,Chansey,https://bulbapedia.bulbagarden.net/wiki/Chansey_(Pok%C3%A9mon),250,5,5,50,35,105,450
0114,Tangela,https://bulbapedia.bulbagarden.net/wiki/Tangela_(Pok%C3%A9mon),65,55,115,60,100,40,435
0115,Kangaskhan,https://bulbapedia.bulbagarden.net/wiki/Kangaskhan_(Pok%C3%A9mon),105,95,80,90,40,80,490
0115,Kangaskhan Mega Kangaskhan,https://bulbapedia.bulbagarden.net/wiki/Kangaskhan_(Pok%C3%A9mon),105,125,100,100,60,100,590
0116,Horsea,https://bulbapedia.bulbagarden.net/wiki/Horsea_(Pok%C3%A9mon),30,40,70,60,70,25,295
0117,Seadra,https://bulbapedia.bulbagarden.net/wiki/Seadra_(Pok%C3%A9mon),55,65,95,85,95,45,440
0118,Goldeen,https://bulbapedia.bulbagarden.net/wiki/Goldeen_(Pok%C3%A9mon),45,67,60,63,35,50,320
0119,Seaking,https://bulbapedia.bulbagarden.net/wiki/Seaking_(Pok%C3%A9mon),80,92,65,68,65,80,450
0120,Staryu,https://bulbapedia.bulbagarden.net/wiki/Staryu_(Pok%C3%A9mon),30,45,55,85,70,55,340
0121,Starmie,https://bulbapedia.bulbagarden.net/wiki/Starmie_(Pok%C3%A9mon),60,75,85,115,100,85,520
0121,Starmie Mega StarmieZA,https://bulbapedia.bulbagarden.net/wiki/Starmie_(Pok%C3%A9mon),60,140,105,120,130,105,660
0122,Mr. Mime,https://bulbapedia.bulbagarden.net/wiki/Mr._Mime_(Pok%C3%A9mon),40,45,65,90,100,120,460
0122,Mr. Mime Galarian Mr. Mime,https://bulbapedia.bulbagarden.net/wiki/Mr._Mime_(Pok%C3%A9mon),50,65,65,100,90,90,460
0123,Scyther,https://bulbapedia.bulbagarden.net/wiki/Scyther_(Pok%C3%A9mon),70,110,80,105,55,80,500
0124,Jynx,https://bulbapedia.bulbagarden.net/wiki/Jynx_(Pok%C3%A9mon),65,50,35,95,115,95,455
0125,Electabuzz,https://bulbapedia.bulbagarden.net/wiki/Electabuzz_(Pok%C3%A9mon),65,83,57,105,95,85,490
0126,Magmar,https://bulbapedia.bulbagarden.net/wiki/Magmar_(Pok%C3%A9mon),65,95,57,93,100,85,495
0127,Pinsir,https://bulbapedia.bulbagarden.net/wiki/Pinsir_(Pok%C3%A9mon),65,125,100,85,55,70,500
0127,Pinsir Mega Pinsir,https://bulbapedia.bulbagarden.net/wiki/Pinsir_(Pok%C3%A9mon),65,155,120,105,65,90,600
0128,Tauros,https://bulbapedia.bulbagarden.net/wiki/Tauros_(Pok%C3%A9mon),75,100,95,110,40,70,490
0128,Tauros Paldean Tauros (Combat Breed),https://bulbapedia.bulbagarden.net/wiki/Tauros_(Pok%C3%A9mon),75,110,105,100,30,70,490
0128,Tauros Paldean Tauros (Blaze Breed),https://bulbapedia.bulbagarden.net/wiki/Tauros_(Pok%C3%A9mon),75,110,105,100,30,70,490
0128,Tauros Paldean Tauros (Aqua Breed),https://bulbapedia.bulbagarden.net/wiki/Tauros_(Pok%C3%A9mon),75,110,105,100,30,70,490
0129,Magikarp,https://bulbapedia.bulbagarden.net/wiki/Magikarp_(Pok%C3%A9mon),20,10,55,80,15,20,200
0130,Gyarados,https://bulbapedia.bulbagarden.net/wiki/Gyarados_(Pok%C3%A9mon),95,125,79,81,60,100,540
0130,Gyarados Mega Gyarados,https://bulbapedia.bulbagarden.net/wiki/Gyarados_(Pok%C3%A9mon),95,155,109,81,70,130,640
0131,Lapras,https://bulbapedia.bulbagarden.net/wiki/Lapras_(Pok%C3%A9mon),130,85,80,60,85,95,535
0132,Ditto,https://bulbapedia.bulbagarden.net/wiki/Ditto_(Pok%C3%A9mon),48,48,48,48,48,48,288
0133,Eevee,https://bulbapedia.bulbagarden.net/wiki/Eevee_(Pok%C3%A9mon),55,55,50,55,45,65,325
0133,Eevee Partner Eevee,https://bulbapedia.bulbagarden.net/wiki/Eevee_(Pok%C3%A9mon),65,75,70,75,65,85,435
0134,Vaporeon,https://bulbapedia.bulbagarden.net/wiki/Vaporeon_(Pok%C3%A9mon),130,65,60,65,110,95,525
0135,Jolteon,https://bulbapedia.bulbagarden.net/wiki/Jolteon_(Pok%C3%A9mon),65,65,60,130,110,95,525
0136,Flareon,https://bulbapedia.bulbagarden.net/wiki/Flareon_(Pok%C3%A9mon),65,130,60,65,95,110,525
0137,Porygon,https://bulbapedia.bulbagarden.net/wiki/Porygon_(Pok%C3%A9mon),65,60,70,40,85,75,395
0138,Omanyte,https://bulbapedia.bulbagarden.net/wiki/Omanyte_(Pok%C3%A9mon),35,40,100,35,90,55,355
0139,Omastar,https://bulbapedia.bulbagarden.net/wiki/Omastar_(Pok%C3%A9mon),70,60,125,55,115,70,495
0140,Kabuto,https://bulbapedia.bulbagarden.net/wiki/Kabuto_(Pok%C3%A9mon),30,80,90,55,55,45,355
0141,Kabutops,https://bulbapedia.bulbagarden.net/wiki/Kabutops_(Pok%C3%A9mon),60,115,105,80,65,70,495
0142,Aerodactyl,https://bulbapedia.bulbagarden.net/wiki/Aerodactyl_(Pok%C3%A9mon),80,105,65,130,60,75,515
0142,Aerodactyl Mega Aerodactyl,https://bulbapedia.bulbagarden.net/wiki/Aerodactyl_(Pok%C3%A9mon),80,135,85,150,70,95,615
0143,Snorlax,https://bulbapedia.bulbagarden.net/wiki/Snorlax_(Pok%C3%A9mon),160,110,65,30,65,110,540
0144,Articuno,https://bulbapedia.bulbagarden.net/wiki/Articuno_(Pok%C3%A9mon),90,85,100,85,95,125,580
0144,Articuno Galarian Articuno,https://bulbapedia.bulbagarden.net/wiki/Articuno_(Pok%C3%A9mon),90,85,85,95,125,100,580
0145,Zapdos,https://bulbapedia.bulbagarden.net/wiki/Zapdos_(Pok%C3%A9mon),90,90,85,100,125,90,580
0145,Zapdos Galarian Zapdos,https://bulbapedia.bulbagarden.net/wiki/Zapdos_(Pok%C3%A9mon),90,125,90,100,85,90,580
0146,Moltres,https://bulbapedia.bulbagarden.net/wiki/Moltres_(Pok%C3%A9mon),90,100,90,90,125,85,580
0146,Moltres Galarian Moltres,https://bulbapedia.bulbagarden.net/wiki/Moltres_(Pok%C3%A9mon),90,85,90,90,100,125,580
0147,Dratini,https://bulbapedia.bulbagarden.net/wiki/Dratini_(Pok%C3%A9mon),41,64,45,50,50,50,300
0148,Dragonair,https://bulbapedia.bulbagarden.net/wiki/Dragonair_(Pok%C3%A9mon),61,84,65,70,70,70,420
0149,Dragonite,https://bulbapedia.bulbagarden.net/wiki/Dragonite_(Pok%C3%A9mon),91,134,95,80,100,100,600
0149,Dragonite Mega Dragonite,https://bulbapedia.bulbagarden.net/wiki/Dragonite_(Pok%C3%A9mon),91,124,115,100,145,125,700
0150,Mewtwo,https://bulbapedia.bulbagarden.net/wiki/Mewtwo_(Pok%C3%A9mon),106,110,90,130,154,90,680
0150,Mewtwo Mega Mewtwo X,https://bulbapedia.bulbagarden.net/wiki/Mewtwo_(Pok%C3%A9mon),106,190,100,130,154,100,780
0150,Mewtwo Mega Mewtwo Y,https://bulbapedia.bulbagarden.net/wiki/Mewtwo_(Pok%C3%A9mon),106,150,70,140,194,120,780
0151,Mew,https://bulbapedia.bulbagarden.net/wiki/Mew_(Pok%C3%A9mon),100,100,100,100,100,100,600
0152,Chikorita,https://bulbapedia.bulbagarden.net/wiki/Chikorita_(Pok%C3%A9mon),45,49,65,45,49,65,318
0153,Bayleef,https://bulbapedia.bulbagarden.net/wiki/Bayleef_(Pok%C3%A9mon),60,62,80,60,63,80,405
