Pokemon,Category,Type 1,Type 2,Height (m),Weight (kg)
Palkia,Spatial Pokémon,Water,Dragon,4.2 m,336.0 kg
Heatran,Lava Dome Pokémon,Fire,Steel,1.7 m,430.0 kg
Regigigas,Colossal Pokémon,Normal,,3.7 m,420.0 kg
Giratina,Renegade Pokémon,Ghost,Dragon,4.5 m,750.0 kg
Giratina,Renegade Pokémon,Ghost,Dragon,4.5 m,750.0 kg
Cresselia,Lunar Pokémon,Psychic,,1.5 m,85.6 kg
Phione,Sea Drifter Pokémon,Water,,0.4 m,3.1 kg
Manaphy,Seafaring Pokémon,Water,,0.3 m,1.4 kg
Darkrai,Pitch-Black Pokémon,Dark,,1.5 m,50.5 kg
Shaymin,Gratitude Pokémon,Grass,,0.2 m,2.1 kg
Shaymin,Gratitude Pokémon,Grass,,0.2 m,2.1 kg
Arceus,Alpha Pokémon,Normal,,3.2 m,320.0 kg
Victini,Victory Pokémon,Psychic,Fire,0.4 m,4.0 kg
Snivy,Grass Snake Pokémon,Grass,,0.6 m,8.1 kg
Servine,Grass Snake Pokémon,Grass,,0.8 m,16.0 kg
Serperior,Regal Pokémon,Grass,,3.3 m,63.0 kg
Tepig,Fire Pig Pokémon,Fire,,0.5 m,9.9 kg
Pignite,Fire Pig Pokémon,Fire,Fighting,1.0 m,55.5 kg
Emboar,Mega Fire Pig Pokémon,Fire,Fighting,1.6 m,150.0 kg
Emboar,Mega Fire Pig Pokémon,Fire,Fighting,1.6 m,150.0 kg
Oshawott,Sea Otter Pokémon,Water,,0.5 m,5.9 kg
Dewott,Discipline Pokémon,Water,,0.8 m,24.5 kg
Samurott,Formidable Pokémon,Water,,1.5 m,94.6 kg
Samurott,Formidable Pokémon,Water,,1.5 m,94.6 kg
Patrat,Scout Pokémon,Normal,,0.5 m,11.6 kg
Watchog,Lookout Pokémon,Normal,,1.1 m,27.0 kg
Lillipup,Puppy Pokémon,Normal,,0.4 m,4.1 kg
Herdier,Loyal Dog Pokémon,Normal,,0.9 m,14.7 kg
Stoutland,Big-Hearted Pokémon,Normal,,1.2 m,61.0 kg
Purrloin,Devious Pokémon,Dark,,0.4 m,10.1 kg
Liepard,Cruel Pokémon,Dark,,1.1 m,37.5 kg
Pansage,Grass Monkey Pokémon,Grass,,0.6 m,10.5 kg
Simisage,Thorn Monkey Pokémon,Grass,,1.1 m,30.5 kg
Pansear,High Temp Pokémon,Fire,,0.6 m,11.0 kg
Simisear,Ember Pokémon,Fire,,1.0 m,28.0 kg
Panpour,Spray Pokémon,Water,,0.6 m,13.5 kg
Simipour,Geyser Pokémon,Water,,1.0 m,29.0 kg
Munna,Dream Eater Pokémon,Psychic,,0.6 m,23.3 kg
Musharna,Drowsing Pokémon,Psychic,,1.1 m,60.5 kg
Pidove,Tiny Pigeon Pokémon,Normal,Flying,0.3 m,2.1 kg
Tranquill,Wild Pigeon Pokémon,Normal,Flying,0.6 m,15.0 kg
Unfezant,Proud Pokémon,Normal,Flying,1.2 m,29.0 kg
Blitzle,Electrified Pokémon,Electric,,0.8 m,29.8 kg
Zebstrika,Thunderbolt Pokémon,Electric,,1.6 m,79.5 kg
Roggenrola,Mantle Pokémon,Rock,,0.4 m,18.0 kg
Boldore,Ore Pokémon,Rock,,0.9 m,102.0 kg
Gigalith,Compressed Pokémon,Rock,,1.7 m,260.0 kg
Woobat,Bat Pokémon,Psychic,Flying,0.4 m,2.1 kg
Swoobat,Courting Pokémon,Psychic,Flying,0.9 m,10.5 kg
Drilbur,Mole Pokémon,Ground,,0.3 m,8.5 kg
Excadrill,Subterrene Pokémon,Ground,Steel,0.7 m,40.4 kg
Excadrill,Subterrene Pokémon,Ground,Steel,0.7 m,40.4 kg
Audino,Hearing Pokémon,Normal,,1.1 m,31.0 kg
Audino,Hearing Pokémon,Normal,,1.1 m,31.0 kg
Timburr,Muscular Pokémon,Fighting,,0.6 m,12.5 kg
Gurdurr,Muscular Pokémon,Fighting,,1.2 m,40.0 kg
Conkeldurr,Muscular Pokémon,Fighting,,1.4 m,87.0 kg
Tympole,Tadpole Pokémon,Water,,0.5 m,4.5 kg
Palpitoad,Vibration Pokémon,Water,Ground,0.8 m,17.0 kg
Seismitoad,Vibration Pokémon,Water,Ground,1.5 m,62.0 kg
Throh,Judo Pokémon,Fighting,,1.3 m,55.5 kg
Sawk,Karate Pokémon,Fighting,,1.4 m,51.0 kg
Sewaddle,Sewing Pokémon,Bug,Grass,0.3 m,2.5 kg
Swadloon,Leaf-Wrapped Pokémon,Bug,Grass,0.5 m,7.3 kg
Leavanny,Nurturing Pokémon,Bug,Grass,1.2 m,20.5 kg
Venipede,Centipede Pokémon,Bug,Poison,0.4 m,5.3 kg
Whirlipede,Curlipede Pokémon,Bug,Poison,1.2 m,58.5 kg
Scolipede,Megapede Pokémon,Bug,Poison,2.5 m,200.5 kg
Scolipede,Megapede Pokémon,Bug,Poison,2.5 m,200.5 kg
Cottonee,Cotton Puff Pokémon,Grass,Fairy,0.3 m,0.6 kg
Whimsicott,Windveiled Pokémon,Grass,Fairy,0.7 m,6.6 kg
