Pokemon,Category,Type 1,Type 2,Height (m),Weight (kg)
Tyranitar,Armor Pokémon,Rock,Dark,2.0 m,202.0 kg
Lugia,Diving Pokémon,Psychic,Flying,5.2 m,216.0 kg
Ho-Oh,Rainbow Pokémon,Fire,Flying,3.8 m,199.0 kg
Celebi,Time Travel Pokémon,Psychic,Grass,0.6 m,5.0 kg
Treecko,Wood Gecko Pokémon,Grass,,0.5 m,5.0 kg
Grovyle,Wood Gecko Pokémon,Grass,,0.9 m,21.6 kg
Sceptile,Forest Pokémon,Grass,,1.7 m,52.2 kg
Sceptile,Forest Pokémon,Grass,,1.7 m,52.2 kg
Torchic,Chick Pokémon,Fire,,0.4 m,2.5 kg
Combusken,Young Fowl Pokémon,Fire,Fighting,0.9 m,19.5 kg
Blaziken,Blaze Pokémon,Fire,Fighting,1.9 m,52.0 kg
Blaziken,Blaze Pokémon,Fire,Fighting,1.9 m,52.0 kg
Mudkip,Mud Fish Pokémon,Water,,0.4 m,7.6 kg
Marshtomp,Mud Fish Pokémon,Water,Ground,0.7 m,28.0 kg
Swampert,Mud Fish Pokémon,Water,Ground,1.5 m,81.9 kg
Swampert,Mud Fish Pokémon,Water,Ground,1.5 m,81.9 kg
Poochyena,Bite Pokémon,Dark,,0.5 m,13.6 kg
Mightyena,Bite Pokémon,Dark,,1.0 m,37.0 kg
Zigzagoon,Tiny Raccoon Pokémon,Normal,,0.4 m,17.5 kg
Zigzagoon,Tiny Raccoon Pokémon,Normal,,0.4 m,17.5 kg
Linoone,Rushing Pokémon,Normal,,0.5 m,32.5 kg
Linoone,Rushing Pokémon,Normal,,0.5 m,32.5 kg
Wurmple,Worm Pokémon,Bug,,0.3 m,3.6 kg
Silcoon,Cocoon Pokémon,Bug,,0.6 m,10.0 kg
Beautifly,Butterfly Pokémon,Bug,Flying,1.0 m,28.4 kg
Cascoon,Cocoon Pokémon,Bug,,0.7 m,11.5 kg
Dustox,Poison Moth Pokémon,Bug,Poison,1.2 m,31.6 kg
Lotad,Water Weed Pokémon,Water,Grass,0.5 m,2.6 kg
Lombre,Jolly Pokémon,Water,Grass,1.2 m,32.5 kg
Ludicolo,Carefree Pokémon,Water,Grass,1.5 m,55.0 kg
Seedot,Acorn Pokémon,Grass,,0.5 m,4.0 kg
