Pokemon,Category,Type 1,Type 2,Height (m),Weight (kg)
Pyroar,Royal Pokémon,Fire,Normal,1.5 m,81.5 kg
Pyroar,Royal Pokémon,Fire,Normal,1.5 m,81.5 kg
Flabébé,Single Bloom Pokémon,Fairy,,0.1 m,0.1 kg
Floette,Single Bloom Pokémon,Fairy,,0.2 m,0.9 kg
Floette,Single Bloom Pokémon,Fairy,,0.2 m,0.9 kg
Floette,Single Bloom Pokémon,Fairy,,0.2 m,0.9 kg
Florges,Garden Pokémon,Fairy,,1.1 m,10.0 kg
Skiddo,Mount Pokémon,Grass,,0.9 m,31.0 kg
Gogoat,Mount Pokémon,Grass,,1.7 m,91.0 kg
Pancham,Playful Pokémon,Fighting,,0.6 m,8.0 kg
Pangoro,Daunting Pokémon,Fighting,Dark,2.1 m,136.0 kg
Furfrou,Poodle Pokémon,Normal,,1.2 m,28.0 kg
Espurr,Restraint Pokémon,Psychic,,0.3 m,3.5 kg
Meowstic,Constraint Pokémon,Psychic,,0.6 m,8.5 kg
Honedge,Sword Pokémon,Steel,Ghost,0.8 m,2.0 kg
Doublade,Sword Pokémon,Steel,Ghost,0.8 m,4.5 kg
Aegislash,Royal Sword Pokémon,Steel,Ghost,1.7 m,53.0 kg
Aegislash,Royal Sword Pokémon,Steel,Ghost,1.7 m,53.0 kg
Spritzee,Perfume Pokémon,Fairy,,0.2 m,0.5 kg
Aromatisse,Fragrance Pokémon,Fairy,,0.8 m,15.5 kg
Swirlix,Cotton Candy Pokémon,Fairy,,0.4 m,3.5 kg
Slurpuff,Meringue Pokémon,Fairy,,0.8 m,5.0 kg
Inkay,Revolving Pokémon,Dark,Psychic,0.4 m,3.5 kg
Malamar,Overturning Pokémon,Dark,Psychic,1.5 m,47.0 kg
Malamar,Overturning Pokémon,Dark,Psychic,1.5 m,47.0 kg
Binacle,Two-Handed Pokémon,Rock,Water,0.5 m,31.0 kg
Barbaracle,Collective Pokémon,Rock,Water,1.3 m,96.0 kg
Barbaracle,Collective Pokémon,Rock,Water,1.3 m,96.0 kg
Skrelp,Mock Kelp Pokémon,Poison,Water,0.5 m,7.3 kg
Dragalge,Mock Kelp Pokémon,Poison,Dragon,1.8 m,81.5 kg
Dragalge,Mock Kelp Pokémon,Poison,Dragon,1.8 m,81.5 kg
Clauncher,Water Gun Pokémon,Water,,0.5 m,8.3 kg
Clawitzer,Howitzer Pokémon,Water,,1.3 m,35.3 kg
Helioptile,Generator Pokémon,Electric,Normal,0.5 m,6.0 kg
Heliolisk,Generator Pokémon,Electric,Normal,1.0 m,21.0 kg
