Pokemon,Category,Type 1,Type 2,Height (m),Weight (kg)
Cutiefly,Bee Fly Pokémon,Bug,Fairy,0.1 m,0.2 kg
Ribombee,Bee Fly Pokémon,Bug,Fairy,0.2 m,0.5 kg
Rockruff,Puppy Pokémon,Rock,,0.5 m,9.2 kg
Lycanroc,Wolf Pokémon,Rock,,0.8 m,25.0 kg
Lycanroc,Wolf Pokémon,Rock,,0.8 m,25.0 kg
Lycanroc,Wolf Pokémon,Rock,,0.8 m,25.0 kg
Wishiwashi,Small Fry Pokémon,Water,,0.2 m,0.3 kg
Wishiwashi,Small Fry Pokémon,Water,,0.2 m,0.3 kg
Mareanie,Brutal Star Pokémon,Poison,Water,0.4 m,8.0 kg
Toxapex,Brutal Star Pokémon,Poison,Water,0.7 m,14.5 kg
Mudbray,Donkey Pokémon,Ground,,1.0 m,110.0 kg
Mudsdale,Draft Horse Pokémon,Ground,,2.5 m,920.0 kg
Dewpider,Water Bubble Pokémon,Water,Bug,0.3 m,4.0 kg
Araquanid,Water Bubble Pokémon,Water,Bug,1.8 m,82.0 kg
Fomantis,Sickle Grass Pokémon,Grass,,0.3 m,1.5 kg
Lurantis,Bloom Sickle Pokémon,Grass,,0.9 m,18.5 kg
Morelull,Illuminating Pokémon,Grass,Fairy,0.2 m,1.5 kg
Shiinotic,Illuminating Pokémon,Grass,Fairy,1.0 m,11.5 kg
Salandit,Toxic Lizard Pokémon,Poison,Fire,0.6 m,4.8 kg
Salazzle,Toxic Lizard Pokémon,Poison,Fire,1.2 m,22.2 kg
Stufful,Flailing Pokémon,Normal,Fighting,0.5 m,6.8 kg
Bewear,Strong Arm Pokémon,Normal,Fighting,2.1 m,135.0 kg
Bounsweet,Fruit Pokémon,Grass,,0.3 m,3.2 kg
Steenee,Fruit Pokémon,Grass,,0.7 m,8.2 kg
Tsareena,Fruit Pokémon,Grass,,1.2 m,21.4 kg
Comfey,Posy Picker Pokémon,Fairy,,0.1 m,0.3 kg
Oranguru,Sage Pokémon,Normal,Psychic,1.5 m,76.0 kg
Passimian,Teamwork Pokémon,Fighting,,2.0 m,82.8 kg
Wimpod,Turn Tail Pokémon,Bug,Water,0.5 m,12.0 kg
Golisopod,Hard Scale Pokémon,Bug,Water,2.0 m,108.0 kg
Sandygast,Sand Heap Pokémon,Ghost,Ground,0.5 m,70.0 kg
Palossand,Sand Castle Pokémon,Ghost,Ground,1.3 m,250.0 kg
Pyukumuku,Sea Cucumber Pokémon,Water,,0.3 m,1.2 kg
Type: Null,Synthetic Pokémon,Normal,,1.9 m,120.5 kg
Silvally,Synthetic Pokémon,Normal,,2.3 m,100.5 kg
Minior,Meteor Pokémon,Rock,Flying,0.3 m,40.0 kg
Minior,Meteor Pokémon,Rock,Flying,0.3 m,40.0 kg
Komala,Drowsing Pokémon,Normal,,0.4 m,19.9 kg
