Pokedex Number,Pokemon,Link,HP,Attack,Defense,Speed,Special Attack,Special Defense,Stat Total,Variation,Category,Type 1,Type 2,Height (m),Weight (kg),Generation
13,Weedle,https://bulbapedia.bulbagarden.net/wiki/Weedle_(Pok%C3%A9mon),40,35,30,50,20,20,195,,Hairy Bug Pokémon,Bug,Poison,0.3,3.2,1.0
14,Kakuna,https://bulbapedia.bulbagarden.net/wiki/Kakuna_(Pok%C3%A9mon),45,25,50,35,25,25,205,,Cocoon Pokémon,Bug,Poison,0.6,10.0,1.0
15,Beedrill,https://bulbapedia.bulbagarden.net/wiki/Beedrill_(Pok%C3%A9mon),65,90,40,75,45,80,395,,Poison Bee Pokémon,Bug,Poison,1.0,29.5,1.0
15,Beedrill,https://bulbapedia.bulbagarden.net/wiki/Beedrill_(Pok%C3%A9mon),65,150,40,145,15,80,495,Mega Beedrill,Poison Bee Pokémon,Bug,Poison,1.4,40.5,1.0
16,Pidgey,https://bulbapedia.bulbagarden.net/wiki/Pidgey_(Pok%C3%A9mon),40,45,40,56,35,35,251,,Tiny Bird Pokémon,Normal,Flying,0.3,1.8,1.0
17,Pidgeotto,https://bulbapedia.bulbagarden.net/wiki/Pidgeotto_(Pok%C3%A9mon),63,60,55,71,50,50,349,,Bird Pokémon,Normal,Flying,1.1,30.0,1.0
18,Pidgeot,https://bulbapedia.bulbagarden.net/wiki/Pidgeot_(Pok%C3%A9mon),83,80,75,101,70,70,479,,Bird Pokémon,Normal,Flying,1.5,39.5,1.0
18,Pidgeot,https://bulbapedia.bulbagarden.net/wiki/Pidgeot_(Pok%C3%A9mon),83,80,80,121,135,80,579,Mega Pidgeot,Bird Pokémon,Normal,Flying,2.2,50.5,1.0
19,Rattata,https://bulbapedia.bulbagarden.net/wiki/Rattata_(Pok%C3%A9mon),30,56,35,72,25,35,253,,Mouse Pokémon,Normal,,0.3,3.5,1.0
19,Rattata,https://bulbapedia.bulbagarden.net/wiki/Rattata_(Pok%C3%A9mon),30,56,35,72,25,35,253,Alolan Rattata,Mouse Pokémon,Dark,Normal,0.3,3.8,1.0
20,Raticate,https://bulbapedia.bulbagarden.net/wiki/Raticate_(Pok%C3%A9mon),55,81,60,97,50,70,413,,Mouse Pokémon,Normal,,0.7,18.5,1.0
20,Raticate,https://bulbapedia.bulbagarden.net/wiki/Raticate_(Pok%C3%A9mon),75,71,70,77,40,80,413,Alolan Raticate,Mouse Pokémon,Dark,Normal,0.7,22.5,1.0
21,Spearow,https://bulbapedia.bulbagarden.net/wiki/Spearow_(Pok%C3%A9mon),40,60,30,70,31,31,262,,Tiny Bird Pokémon,Normal,Flying,0.3,2.0,1.0
22,Fearow,https://bulbapedia.bulbagarden.net/wiki/Fearow_(Pok%C3%A9mon),65,90,65,100,61,61,442,,Beak Pokémon,Normal,Flying,1.2,38.0,1.0
23,Ekans,https://bulbapedia.bulbagarden.net/wiki/Ekans_(Pok%C3%A9mon),35,60,44,55,40,54,288,,Snake Pokémon,Poison,,2.0,6.9,1.0
24,Arbok,https://bulbapedia.bulbagarden.net/wiki/Arbok_(Pok%C3%A9mon),60,95,69,80,65,79,448,,Cobra Pokémon,Poison,,3.5,65.0,1.0
25,Pikachu,https://bulbapedia.bulbagarden.net/wiki/Pikachu_(Pok%C3%A9mon),35,55,40,90,50,50,320,,Mouse Pokémon,Electric,,0.4,6.0,1.0
25,Pikachu,https://bulbapedia.bulbagarden.net/wiki/Pikachu_(Pok%C3%A9mon),45,80,50,120,75,60,430,Partner Pikachu,Mouse Pokémon,Electric,,0.4,6.0,1.0
26,Raichu,https://bulbapedia.bulbagarden.net/wiki/Raichu_(Pok%C3%A9mon),60,90,55,110,90,80,485,,Mouse Pokémon,Electric,,0.8,30.0,1.0
26,Raichu,https://bulbapedia.bulbagarden.net/wiki/Raichu_(Pok%C3%A9mon),60,85,50,110,95,85,485,Alolan Raichu,Mouse Pokémon,Electric,Psychic,0.7,21.0,1.0
27,Sandshrew,https://bulbapedia.bulbagarden.net/wiki/Sandshrew_(Pok%C3%A9mon),50,75,85,40,20,30,300,,Mouse Pokémon,Ground,,0.6,12.0,1.0
27,Sandshrew,https://bulbapedia.bulbagarden.net/wiki/Sandshrew_(Pok%C3%A9mon),50,75,90,40,10,35,300,Alolan Sandshrew,Mouse Pokémon,Ice,Steel,0.7,40.0,1.0
28,Sandslash,https://bulbapedia.bulbagarden.net/wiki/Sandslash_(Pok%C3%A9mon),75,100,110,65,45,55,450,,Mouse Pokémon,Ground,,1.0,29.5,1.0
28,Sandslash,https://bulbapedia.bulbagarden.net/wiki/Sandslash_(Pok%C3%A9mon),75,100,120,65,25,65,450,Alolan Sandslash,Mouse Pokémon,Ground,,1.0,29.5,1.0
29,Nidoran♀,https://bulbapedia.bulbagarden.net/wiki/Nidoran%E2%99%80_(Pok%C3%A9mon),55,47,52,41,40,40,275,,Poison Pin Pokémon,Poison,,0.4,7.0,1.0
30,Nidorina,https://bulbapedia.bulbagarden.net/wiki/Nidorina_(Pok%C3%A9mon),70,62,67,56,55,55,365,,Poison Pin Pokémon,Poison,,0.8,20.0,1.0
31,Nidoqueen,https://bulbapedia.bulbagarden.net/wiki/Nidoqueen_(Pok%C3%A9mon),90,92,87,76,75,85,505,,Drill Pokémon,Poison,Ground,1.3,60.0,1.0
32,Nidoran♂,https://bulbapedia.bulbagarden.net/wiki/Nidoran%E2%99%82_(Pok%C3%A9mon),46,57,40,50,40,40,273,,Poison Pin Pokémon,Poison,,0.5,9.0,1.0
33,Nidorino,https://bulbapedia.bulbagarden.net/wiki/Nidorino_(Pok%C3%A9mon),61,72,57,65,55,55,365,,Poison Pin Pokémon,Poison,,0.9,19.5,1.0
34,Nidoking,https://bulbapedia.bulbagarden.net/wiki/Nidoking_(Pok%C3%A9mon),81,102,77,85,85,75,505,,Drill Pokémon,Poison,Ground,1.4,62.0,1.0
35,Clefairy,https://bulbapedia.bulbagarden.net/wiki/Clefairy_(Pok%C3%A9mon),70,45,48,35,60,65,323,,Fairy Pokémon,Fairy,,0.6,7.5,1.0
36,Clefable,https://bulbapedia.bulbagarden.net/wiki/Clefable_(Pok%C3%A9mon),95,70,73,60,95,90,483,,Fairy Pokémon,Fairy,,1.3,40.0,1.0
36,Clefable,https://bulbapedia.bulbagarden.net/wiki/Clefable_(Pok%C3%A9mon),95,80,93,70,135,110,583,Mega Clefable,Fairy Pokémon,Fairy,,1.3,40.0,1.0
37,Vulpix,https://bulbapedia.bulbagarden.net/wiki/Vulpix_(Pok%C3%A9mon),38,41,40,65,50,65,299,,Fox Pokémon,Fire,,0.6,9.9,1.0
37,Vulpix,https://bulbapedia.bulbagarden.net/wiki/Vulpix_(Pok%C3%A9mon),38,41,40,65,50,65,299,Alolan Vulpix,Fox Pokémon,Fire,,0.6,9.9,1.0
38,Ninetales,https://bulbapedia.bulbagarden.net/wiki/Ninetales_(Pok%C3%A9mon),73,76,75,100,81,100,505,,Fox Pokémon,Fire,,1.1,19.9,1.0
38,Ninetales,https://bulbapedia.bulbagarden.net/wiki/Ninetales_(Pok%C3%A9mon),73,67,75,109,81,100,505,Alolan Ninetales,Fox Pokémon,Fire,,1.1,19.9,1.0
39,Jigglypuff,https://bulbapedia.bulbagarden.net/wiki/Jigglypuff_(Pok%C3%A9mon),115,45,20,20,45,25,270,,Balloon Pokémon,Normal,Fairy,0.5,5.5,1.0
40,Wigglytuff,https://bulbapedia.bulbagarden.net/wiki/Wigglytuff_(Pok%C3%A9mon),140,70,45,45,85,50,435,,Balloon Pokémon,Normal,Fairy,1.0,12.0,1.0
41,Zubat,https://bulbapedia.bulbagarden.net/wiki/Zubat_(Pok%C3%A9mon),40,45,35,55,30,40,245,,Bat Pokémon,Poison,Flying,0.8,7.5,1.0
42,Golbat,https://bulbapedia.bulbagarden.net/wiki/Golbat_(Pok%C3%A9mon),75,80,70,90,65,75,455,,Bat Pokémon,Poison,Flying,1.6,55.0,1.0
43,Oddish,https://bulbapedia.bulbagarden.net/wiki/Oddish_(Pok%C3%A9mon),45,50,55,30,75,65,320,,Weed Pokémon,Grass,Poison,0.5,5.4,1.0
44,Gloom,https://bulbapedia.bulbagarden.net/wiki/Gloom_(Pok%C3%A9mon),60,65,70,40,85,75,395,,Weed Pokémon,Grass,Poison,0.8,8.6,1.0
45,Vileplume,https://bulbapedia.bulbagarden.net/wiki/Vileplume_(Pok%C3%A9mon),75,80,85,50,110,90,490,,Flower Pokémon,Grass,Poison,1.2,18.6,1.0
46,Paras,https://bulbapedia.bulbagarden.net/wiki/Paras_(Pok%C3%A9mon),35,70,55,25,45,55,285,,Mushroom Pokémon,Bug,Grass,0.3,5.4,1.0
47,Parasect,https://bulbapedia.bulbagarden.net/wiki/Parasect_(Pok%C3%A9mon),60,95,80,30,60,80,405,,Mushroom Pokémon,Bug,Grass,1.0,29.5,1.0
48,Venonat,https://bulbapedia.bulbagarden.net/wiki/Venonat_(Pok%C3%A9mon),60,55,50,45,40,55,305,,Insect Pokémon,Bug,Poison,1.0,30.0,1.0
49,Venomoth,https://bulbapedia.bulbagarden.net/wiki/Venomoth_(Pok%C3%A9mon),70,65,60,90,90,75,450,,Poison Moth Pokémon,Bug,Poison,1.5,12.5,1.0
50,Diglett,https://bulbapedia.bulbagarden.net/wiki/Diglett_(Pok%C3%A9mon),10,55,25,95,35,45,265,,Mole Pokémon,Ground,,0.2,0.8,1.0
50,Diglett,https://bulbapedia.bulbagarden.net/wiki/Diglett_(Pok%C3%A9mon),10,55,30,90,35,45,265,Alolan Diglett,Mole Pokémon,Ground,,0.2,0.8,1.0
51,Dugtrio,https://bulbapedia.bulbagarden.net/wiki/Dugtrio_(Pok%C3%A9mon),35,100,50,120,50,70,425,,Mole Pokémon,Ground,,0.7,33.3,1.0
51,Dugtrio,https://bulbapedia.bulbagarden.net/wiki/Dugtrio_(Pok%C3%A9mon),35,100,60,110,50,70,425,Alolan Dugtrio,Mole Pokémon,Ground,,0.7,33.3,1.0
52,Meowth,https://bulbapedia.bulbagarden.net/wiki/Meowth_(Pok%C3%A9mon),40,45,35,90,40,40,290,,Scratch Cat Pokémon,Normal,,0.4,4.2,1.0
52,Meowth,https://bulbapedia.bulbagarden.net/wiki/Meowth_(Pok%C3%A9mon),40,35,35,90,50,40,290,Alolan Meowth,Scratch Cat Pokémon,Normal,,0.4,4.2,1.0
52,Meowth,https://bulbapedia.bulbagarden.net/wiki/Meowth_(Pok%C3%A9mon),50,65,55,40,40,40,290,Galarian Meowth,Scratch Cat Pokémon,Normal,,0.4,4.2,1.0
53,Persian,https://bulbapedia.bulbagarden.net/wiki/Persian_(Pok%C3%A9mon),65,70,60,115,65,65,440,,Classy Cat Pokémon,Normal,,1.0,32.0,1.0
53,Persian,https://bulbapedia.bulbagarden.net/wiki/Persian_(Pok%C3%A9mon),65,60,60,115,75,65,440,Alolan Persian,Classy Cat Pokémon,Normal,,1.0,32.0,1.0
54,Psyduck,https://bulbapedia.bulbagarden.net/wiki/Psyduck_(Pok%C3%A9mon),50,52,48,55,65,50,320,,Duck Pokémon,Water,,0.8,19.6,1.0
55,Golduck,https://bulbapedia.bulbagarden.net/wiki/Golduck_(Pok%C3%A9mon),80,82,78,85,95,80,500,,Duck Pokémon,Water,,1.7,76.6,1.0
56,Mankey,https://bulbapedia.bulbagarden.net/wiki/Mankey_(Pok%C3%A9mon),40,80,35,70,35,45,305,,Pig Monkey Pokémon,Fighting,,0.5,28.0,1.0
57,Primeape,https://bulbapedia.bulbagarden.net/wiki/Primeape_(Pok%C3%A9mon),65,105,60,95,60,70,455,,Pig Monkey Pokémon,Fighting,,1.0,32.0,1.0
58,Growlithe,https://bulbapedia.bulbagarden.net/wiki/Growlithe_(Pok%C3%A9mon),55,70,45,60,70,50,350,,Puppy Pokémon,Fire,,0.7,19.0,1.0
58,Growlithe,https://bulbapedia.bulbagarden.net/wiki/Growlithe_(Pok%C3%A9mon),60,75,45,55,65,50,350,Hisuian Growlithe,Puppy Pokémon,Fire,,0.7,19.0,1.0
59,Arcanine,https://bulbapedia.bulbagarden.net/wiki/Arcanine_(Pok%C3%A9mon),90,110,80,95,100,80,555,,Legendary Pokémon,Fire,,1.9,155.0,1.0
59,Arcanine,https://bulbapedia.bulbagarden.net/wiki/Arcanine_(Pok%C3%A9mon),95,115,80,90,95,80,555,Hisuian Arcanine,Legendary Pokémon,Fire,,1.9,155.0,1.0
60,Poliwag,https://bulbapedia.bulbagarden.net/wiki/Poliwag_(Pok%C3%A9mon),40,50,40,90,40,40,300,,Tadpole Pokémon,Water,,0.6,12.4,1.0
61,Poliwhirl,https://bulbapedia.bulbagarden.net/wiki/Poliwhirl_(Pok%C3%A9mon),65,65,65,90,50,50,385,,Tadpole Pokémon,Water,,1.0,20.0,1.0
62,Poliwrath,https://bulbapedia.bulbagarden.net/wiki/Poliwrath_(Pok%C3%A9mon),90,95,95,70,70,90,510,,Tadpole Pokémon,Water,Fighting,1.3,54.0,1.0
63,Abra,https://bulbapedia.bulbagarden.net/wiki/Abra_(Pok%C3%A9mon),25,20,15,90,105,55,310,,Psi Pokémon,Psychic,,0.9,19.5,1.0
64,Kadabra,https://bulbapedia.bulbagarden.net/wiki/Kadabra_(Pok%C3%A9mon),40,35,30,105,120,70,400,,Psi Pokémon,Psychic,,1.3,56.5,1.0
65,Alakazam,https://bulbapedia.bulbagarden.net/wiki/Alakazam_(Pok%C3%A9mon),55,50,45,120,135,95,500,,Psi Pokémon,Psychic,,1.5,48.0,1.0
65,Alakazam,https://bulbapedia.bulbagarden.net/wiki/Alakazam_(Pok%C3%A9mon),55,50,65,150,175,105,600,Mega Alakazam,Psi Pokémon,Psychic,,1.5,48.0,1.0
66,Machop,https://bulbapedia.bulbagarden.net/wiki/Machop_(Pok%C3%A9mon),70,80,50,35,35,35,305,,Superpower Pokémon,Fighting,,0.8,19.5,1.0
67,Machoke,https://bulbapedia.bulbagarden.net/wiki/Machoke_(Pok%C3%A9mon),80,100,70,45,50,60,405,,Superpower Pokémon,Fighting,,1.5,70.5,1.0
68,Machamp,https://bulbapedia.bulbagarden.net/wiki/Machamp_(Pok%C3%A9mon),90,130,80,55,65,85,505,,Superpower Pokémon,Fighting,,1.6,130.0,1.0
69,Bellsprout,https://bulbapedia.bulbagarden.net/wiki/Bellsprout_(Pok%C3%A9mon),50,75,35,40,70,30,300,,Flower Pokémon,Grass,Poison,0.7,4.0,1.0
70,Weepinbell,https://bulbapedia.bulbagarden.net/wiki/Weepinbell_(Pok%C3%A9mon),65,90,50,55,85,45,390,,Flycatcher Pokémon,Grass,Poison,1.0,6.4,1.0
71,Victreebel,https://bulbapedia.bulbagarden.net/wiki/Victreebel_(Pok%C3%A9mon),80,105,65,70,100,70,490,,Flycatcher Pokémon,Grass,Poison,1.7,15.5,1.0
71,Victreebel,https://bulbapedia.bulbagarden.net/wiki/Victreebel_(Pok%C3%A9mon),80,125,85,70,135,95,590,Mega Victreebel,Flycatcher Pokémon,Grass,Poison,1.7,15.5,1.0
72,Tentacool,https://bulbapedia.bulbagarden.net/wiki/Tentacool_(Pok%C3%A9mon),40,40,35,70,50,100,335,,Jellyfish Pokémon,Water,Poison,0.9,45.5,1.0
73,Tentacruel,https://bulbapedia.bulbagarden.net/wiki/Tentacruel_(Pok%C3%A9mon),80,70,65,100,80,120,515,,Jellyfish Pokémon,Water,Poison,1.6,55.0,1.0
74,Geodude,https://bulbapedia.bulbagarden.net/wiki/Geodude_(Pok%C3%A9mon),40,80,100,20,30,30,300,,Rock Pokémon,Rock,Ground,0.4,20.0,1.0
74,Geodude,https://bulbapedia.bulbagarden.net/wiki/Geodude_(Pok%C3%A9mon),40,80,100,20,30,30,300,Alolan Geodude,Rock Pokémon,Rock,Ground,0.4,20.0,1.0
75,Graveler,https://bulbapedia.bulbagarden.net/wiki/Graveler_(Pok%C3%A9mon),55,95,115,35,45,45,390,,Rock Pokémon,Rock,Ground,1.0,105.0,1.0
75,Graveler,https://bulbapedia.bulbagarden.net/wiki/Graveler_(Pok%C3%A9mon),55,95,115,35,45,45,390,Alolan Graveler,Rock Pokémon,Rock,Ground,1.0,105.0,1.0
76,Golem,https://bulbapedia.bulbagarden.net/wiki/Golem_(Pok%C3%A9mon),80,120,130,45,55,65,495,,Megaton Pokémon,Rock,Ground,1.4,300.0,1.0
76,Golem,https://bulbapedia.bulbagarden.net/wiki/Golem_(Pok%C3%A9mon),80,120,130,45,55,65,495,Alolan Golem,Megaton Pokémon,Rock,Ground,1.4,300.0,1.0
77,Ponyta,https://bulbapedia.bulbagarden.net/wiki/Ponyta_(Pok%C3%A9mon),50,85,55,90,65,65,410,,Fire Horse Pokémon,Fire,,1.0,30.0,1.0
77,Ponyta,https://bulbapedia.bulbagarden.net/wiki/Ponyta_(Pok%C3%A9mon),50,85,55,90,65,65,410,Galarian Ponyta,Fire Horse Pokémon,Fire,,1.0,30.0,1.0
78,Rapidash,https://bulbapedia.bulbagarden.net/wiki/Rapidash_(Pok%C3%A9mon),65,100,70,105,80,80,500,,Fire Horse Pokémon,Fire,,1.7,95.0,1.0
78,Rapidash,https://bulbapedia.bulbagarden.net/wiki/Rapidash_(Pok%C3%A9mon),65,100,70,105,80,80,500,Galarian Rapidash,Fire Horse Pokémon,Fire,,1.7,95.0,1.0
79,Slowpoke,https://bulbapedia.bulbagarden.net/wiki/Slowpoke_(Pok%C3%A9mon),90,65,65,15,40,40,315,,Dopey Pokémon,Water,Psychic,1.2,36.0,1.0
79,Slowpoke,https://bulbapedia.bulbagarden.net/wiki/Slowpoke_(Pok%C3%A9mon),90,65,65,15,40,40,315,Galarian Slowpoke,Dopey Pokémon,Water,Psychic,1.2,36.0,1.0
80,Slowbro,https://bulbapedia.bulbagarden.net/wiki/Slowbro_(Pok%C3%A9mon),95,75,110,30,100,80,490,,Hermit Crab Pokémon,Water,Psychic,1.6,78.5,1.0
80,Slowbro,https://bulbapedia.bulbagarden.net/wiki/Slowbro_(Pok%C3%A9mon),95,75,180,30,130,80,590,Mega Slowbro,Hermit Crab Pokémon,Water,Psychic,1.6,78.5,1.0
80,Slowbro,https://bulbapedia.bulbagarden.net/wiki/Slowbro_(Pok%C3%A9mon),95,100,95,30,100,70,490,Galarian Slowbro,Hermit Crab Pokémon,Water,Psychic,1.6,78.5,1.0
81,Magnemite,https://bulbapedia.bulbagarden.net/wiki/Magnemite_(Pok%C3%A9mon),25,35,70,45,95,55,325,,Magnet Pokémon,Electric,Steel,0.3,6.0,1.0
82,Magneton,https://bulbapedia.bulbagarden.net/wiki/Magneton_(Pok%C3%A9mon),50,60,95,70,120,70,465,,Magnet Pokémon,Electric,Steel,1.0,60.0,1.0
83,Farfetch'd,https://bulbapedia.bulbagarden.net/wiki/Farfetch%27d_(Pok%C3%A9mon),52,90,55,60,58,62,377,,Wild Duck Pokémon,Normal,Flying,0.8,15.0,1.0
83,Farfetch'd,https://bulbapedia.bulbagarden.net/wiki/Farfetch%27d_(Pok%C3%A9mon),52,95,55,55,58,62,377,Galarian Farfetch'd,Wild Duck Pokémon,Normal,Flying,0.8,15.0,1.0
84,Doduo,https://bulbapedia.bulbagarden.net/wiki/Doduo_(Pok%C3%A9mon),35,85,45,75,35,35,310,,Twin Bird Pokémon,Normal,Flying,1.4,39.2,1.0
85,Dodrio,https://bulbapedia.bulbagarden.net/wiki/Dodrio_(Pok%C3%A9mon),60,110,70,110,60,60,470,,Triple Bird Pokémon,Normal,Flying,1.8,85.2,1.0
86,Seel,https://bulbapedia.bulbagarden.net/wiki/Seel_(Pok%C3%A9mon),65,45,55,45,45,70,325,,Sea Lion Pokémon,Water,,1.1,90.0,1.0
87,Dewgong,https://bulbapedia.bulbagarden.net/wiki/Dewgong_(Pok%C3%A9mon),90,70,80,70,70,95,475,,Sea Lion Pokémon,Water,Ice,1.7,120.0,1.0
88,Grimer,https://bulbapedia.bulbagarden.net/wiki/Grimer_(Pok%C3%A9mon),80,80,50,25,40,50,325,,Sludge Pokémon,Poison,,0.9,30.0,1.0
88,Grimer,https://bulbapedia.bulbagarden.net/wiki/Grimer_(Pok%C3%A9mon),80,80,50,25,40,50,325,Alolan Grimer,Sludge Pokémon,Poison,,0.9,30.0,1.0
89,Muk,https://bulbapedia.bulbagarden.net/wiki/Muk_(Pok%C3%A9mon),105,105,75,50,65,100,500,,Sludge Pokémon,Poison,,1.2,30.0,1.0
89,Muk,https://bulbapedia.bulbagarden.net/wiki/Muk_(Pok%C3%A9mon),105,105,75,50,65,100,500,Alolan Muk,Sludge Pokémon,Poison,,1.2,30.0,1.0
90,Shellder,https://bulbapedia.bulbagarden.net/wiki/Shellder_(Pok%C3%A9mon),30,65,100,40,45,25,305,,Bivalve Pokémon,Water,,0.3,4.0,1.0
91,Cloyster,https://bulbapedia.bulbagarden.net/wiki/Cloyster_(Pok%C3%A9mon),50,95,180,70,85,45,525,,Bivalve Pokémon,Water,Ice,1.5,132.5,1.0
92,Gastly,https://bulbapedia.bulbagarden.net/wiki/Gastly_(Pok%C3%A9mon),30,35,30,80,100,35,310,,Gas Pokémon,Ghost,Poison,1.3,0.1,1.0
93,Haunter,https://bulbapedia.bulbagarden.net/wiki/Haunter_(Pok%C3%A9mon),45,50,45,95,115,55,405,,Gas Pokémon,Ghost,Poison,1.6,0.1,1.0
94,Gengar,https://bulbapedia.bulbagarden.net/wiki/Gengar_(Pok%C3%A9mon),60,65,60,110,130,75,500,,Shadow Pokémon,Ghost,Poison,1.5,40.5,1.0
94,Gengar,https://bulbapedia.bulbagarden.net/wiki/Gengar_(Pok%C3%A9mon),60,65,80,130,170,95,600,Mega Gengar,Shadow Pokémon,Ghost,Poison,1.5,40.5,1.0
95,Onix,https://bulbapedia.bulbagarden.net/wiki/Onix_(Pok%C3%A9mon),35,45,160,70,30,45,385,,Rock Snake Pokémon,Rock,Ground,8.8,210.0,1.0
96,Drowzee,https://bulbapedia.bulbagarden.net/wiki/Drowzee_(Pok%C3%A9mon),60,48,45,42,43,90,328,,Hypnosis Pokémon,Psychic,,1.0,32.4,1.0
97,Hypno,https://bulbapedia.bulbagarden.net/wiki/Hypno_(Pok%C3%A9mon),85,73,70,67,73,115,483,,Hypnosis Pokémon,Psychic,,1.6,75.6,1.0
98,Krabby,https://bulbapedia.bulbagarden.net/wiki/Krabby_(Pok%C3%A9mon),30,105,90,50,25,25,325,,River Crab Pokémon,Water,,0.4,6.5,1.0
99,Kingler,https://bulbapedia.bulbagarden.net/wiki/Kingler_(Pok%C3%A9mon),55,130,115,75,50,50,475,,Pincer Pokémon,Water,,1.3,60.0,1.0
100,Voltorb,https://bulbapedia.bulbagarden.net/wiki/Voltorb_(Pok%C3%A9mon),40,30,50,100,55,55,330,,Ball Pokémon,Electric,,0.5,10.4,1.0
100,Voltorb,https://bulbapedia.bulbagarden.net/wiki/Voltorb_(Pok%C3%A9mon),40,30,50,100,55,55,330,Hisuian Voltorb,Ball Pokémon,Electric,,0.5,10.4,1.0
101,Electrode,https://bulbapedia.bulbagarden.net/wiki/Electrode_(Pok%C3%A9mon),60,50,70,150,80,80,490,,Ball Pokémon,Electric,,1.2,66.6,1.0
101,Electrode,https://bulbapedia.bulbagarden.net/wiki/Electrode_(Pok%C3%A9mon),60,50,70,150,80,80,490,Hisuian Electrode,Ball Pokémon,Electric,,1.2,66.6,1.0
102,Exeggcute,https://bulbapedia.bulbagarden.net/wiki/Exeggcute_(Pok%C3%A9mon),60,40,80,40,60,45,325,,Egg Pokémon,Grass,Psychic,0.4,2.5,1.0
103,Exeggutor,https://bulbapedia.bulbagarden.net/wiki/Exeggutor_(Pok%C3%A9mon),95,95,85,55,125,75,530,,Coconut Pokémon,Grass,Psychic,2.0,120.0,1.0
103,Exeggutor,https://bulbapedia.bulbagarden.net/wiki/Exeggutor_(Pok%C3%A9mon),95,105,85,45,125,75,530,Alolan Exeggutor,Coconut Pokémon,Grass,Psychic,2.0,120.0,1.0
104,Cubone,https://bulbapedia.bulbagarden.net/wiki/Cubone_(Pok%C3%A9mon),50,50,95,35,40,50,320,,Lonely Pokémon,Ground,,0.4,6.5,1.0
105,Marowak,https://bulbapedia.bulbagarden.net/wiki/Marowak_(Pok%C3%A9mon),60,80,110,45,50,80,425,,Bone Keeper Pokémon,Ground,,1.0,45.0,1.0
105,Marowak,https://bulbapedia.bulbagarden.net/wiki/Marowak_(Pok%C3%A9mon),60,80,110,45,50,80,425,Alolan Marowak,Bone Keeper Pokémon,Ground,,1.0,45.0,1.0
